Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Dwight McNeil\Dwight-McNeil,MF,Burnley,20,1999,36,3069,34.1,English Premier League
Matthew Lowton\Matthew-Lowton,DF,Burnley,31,1989,34,3060,34,English Premier League
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,DF,Manchester Utd,22,1997,34,3060,34,English Premier League
Vladimír Coufal\Vladimir-Coufal,DF,West Ham,27,1992,34,3054,33.9,English Premier League
Patrick Bamford\Patrick-Bamford,FW,Leeds United,26,1993,38,3050,33.9,English Premier League
Harry Maguire\Harry-Maguire,DF,Manchester Utd,27,1993,34,3047,33.9,English Premier League
Trent Alexander-Arnold\Trent-Alexander-Arnold,DF,Liverpool,21,1998,36,3031,33.7,English Premier League
Michael Keane\Michael-Keane,DF,Everton,27,1993,35,2991,33.2,English Premier League
Nélson Semedo\Nelson-Semedo,DF,Wolves,26,1993,34,2983,33.1,English Premier League
Alisson\Alisson,GK,Liverpool,27,1992,33,2970,33,English Premier League
Tosin Adarabioyo\Tosin-Adarabioyo,DF,Fulham,22,1997,33,2953,32.8,English Premier League
Georginio Wijnaldum\Georginio-Wijnaldum,MF,Liverpool,29,1990,38,2941,32.7,English Premier League
Darnell Furlong\Darnell-Furlong,DF,West Brom,24,1995,35,2932,32.6,English Premier League
Lewis Dunk\Lewis-Dunk,DF,Brighton,28,1991,33,2931,32.6,English Premier League
Marcus Rashford\Marcus-Rashford,FW,Manchester Utd,22,1997,37,2920,32.4,English Premier League
Mason Mount\Mason-Mount,MFFW,Chelsea,21,1999,36,2890,32.1,English Premier League
Nick Pope\Nick-Pope,GK,Burnley,28,1992,32,2880,32,English Premier League
Declan Rice\Declan-Rice,MF,West Ham,21,1999,32,2879,32,English Premier League
Dominic Calvert-Lewin\Dominic-Calvert-Lewin,FW,Everton,23,1997,33,2871,31.9,English Premier League
Richarlison\Richarlison,FW,Everton,23,1997,34,2861,31.8,English Premier League
Jack Harrison\Jack-Harrison,MF,Leeds United,23,1996,36,2847,31.6,English Premier League
Rúben Dias\Ruben-Dias,DF,Manchester City,23,1997,32,2843,31.6,English Premier League
Jamie Vardy\Jamie-Vardy,FW,Leicester City,33,1987,34,2840,31.6,English Premier League
Roberto Firmino\Roberto-Firmino,FW,Liverpool,28,1991,36,2838,31.5,English Premier League
Josh Brownhill\Josh-Brownhill,MF,Burnley,24,1995,33,2813,31.3,English Premier League
Sadio Mané\Sadio-Mane,FW,Liverpool,28,1992,35,2810,31.2,English Premier League
George Baldock\George-Baldock,DF,Sheffield Utd,27,1993,32,2787,31,English Premier League
Douglas Luiz\Douglas-Luiz,MF,Aston Villa,22,1998,33,2781,30.9,English Premier League
Semi Ajayi\Semi-Ajayi,DF,West Brom,26,1993,33,2780,30.9,English Premier League
Stuart Armstrong\Stuart-Armstrong,MF,Southampton,28,1992,33,2764,30.7,English Premier League
Rodri\Rodri,MF,Manchester City,24,1996,34,2748,30.5,English Premier League
Ademola Lookman\Ademola-Lookman,FWMF,Fulham,22,1997,34,2747,30.5,English Premier League
Edouard Mendy\Edouard-Mendy,GK,Chelsea,28,1992,31,2745,30.5,English Premier League
Jordan Pickford\Jordan-Pickford,GK,Everton,26,1994,31,2742,30.5,English Premier League
Chris Wood\Chris-Wood,FW,Burnley,28,1991,33,2741,30.5,English Premier League
Joachim Andersen\Joachim-Andersen,DF,Fulham,24,1996,31,2730,30.3,English Premier League
Alex McCarthy\Alex-McCarthy,GK,Southampton,30,1989,30,2700,30,English Premier League
Enda Stevens\Enda-Stevens,DF,Sheffield Utd,30,1990,30,2700,30,English Premier League
Ben Mee\Ben-Mee,DF,Burnley,30,1989,30,2693,29.9,English Premier League
Ben Godfrey\Ben-Godfrey,DF,Everton,22,1998,31,2685,29.8,English Premier League
Lucas Digne\Lucas-Digne,DF,Everton,27,1993,30,2681,29.8,English Premier League
Rúben Neves\Ruben-Neves,MF,Wolves,23,1997,36,2675,29.7,English Premier League
Che Adams\Che-Adams,FW,Southampton,24,1996,36,2667,29.6,English Premier League
Ola Aina\Ola-Aina,DF,Fulham,23,1996,31,2664,29.6,English Premier League
Luke Shaw\Luke-Shaw,DF,Manchester Utd,25,1995,32,2654,29.5,English Premier League
Adama Traoré\Adama-Traore,FW,Wolves,24,1996,37,2649,29.4,English Premier League
Kyle Walker-Peters\Kyle-Walker-Peters,DF,Southampton,23,1997,30,2645,29.4,English Premier League
John Egan\John-Egan,DF,Sheffield Utd,27,1992,31,2629,29.2,English Premier League
Jonjo Shelvey\Jonjo-Shelvey,MF,Newcastle Utd,28,1992,30,2617,29.1,English Premier League
Wilfried Zaha\Wilfried-Zaha,FW,Crystal Palace,27,1992,30,2612,29,English Premier League
Leandro Trossard\Leandro-Trossard,FWMF,Brighton,25,1994,35,2607,29,English Premier League
Timo Werner\Timo-Werner,FW,Chelsea,24,1996,35,2602,28.9,English Premier League
Ryan Bertrand\Ryan-Bertrand,DF,Southampton,30,1989,29,2598,28.9,English Premier League
Adam Webster\Adam-Webster,DF,Brighton,25,1995,29,2594,28.8,English Premier League
Andre-Frank Zambo Anguissa\Andre-Frank-Zambo-Anguissa,MF,Fulham,24,1995,36,2587,28.7,English Premier League
Victor Lindelof\Victor-Lindelof,DF,Manchester Utd,26,1994,29,2585,28.7,English Premier League
Kyle Bartley\Kyle-Bartley,DF,West Brom,29,1991,30,2584,28.7,English Premier League
Matheus Pereira\Matheus-Pereira,MFFW,West Brom,24,1996,33,2577,28.6,English Premier League
Chris Basham\Chris-Basham,DFMF,Sheffield Utd,32,1988,31,2576,28.6,English Premier League
John Fleck\John-Fleck,MF,Sheffield Utd,28,1991,31,2575,28.6,English Premier League
Jannik Vestergaard\Jannik-Vestergaard,DF,Southampton,27,1992,30,2574,28.6,English Premier League
Pablo Fornals\Pablo-Fornals,FWMF,West Ham,24,1996,33,2572,28.6,English Premier League
Fabinho\Fabinho,DFMF,Liverpool,26,1993,30,2567,28.5,English Premier League
Jarrod Bowen\Jarrod-Bowen,FWMF,West Ham,23,1996,38,2562,28.5,English Premier League
Eberechi Eze\Eberechi-Eze,MF,Crystal Palace,22,1998,34,2559,28.4,English Premier League
Rob Holding\Rob-Holding,DF,Arsenal,24,1995,30,2558,28.4,English Premier League
Bukayo Saka\Bukayo-Saka,FWDF,Arsenal,18,2001,32,2553,28.4,English Premier League
Pedro Neto\Pedro-Neto,FWMF,Wolves,20,2000,31,2550,28.3,English Premier League
Raheem Sterling\Raheem-Sterling,FW,Manchester City,25,1994,31,2536,28.2,English Premier League
Conor Gallagher\Conor-Gallagher,MF,West Brom,20,2000,30,2531,28.1,English Premier League
João Moutinho\Joao-Moutinho,MF,Wolves,33,1986,33,2528,28.1,English Premier League
Granit Xhaka\Granit-Xhaka,MFDF,Arsenal,27,1992,31,2522,28,English Premier League
Eric Dier\Eric-Dier,DF,Tottenham,26,1994,28,2520,28,English Premier League
Neal Maupay\Neal-Maupay,FWMF,Brighton,23,1996,33,2512,27.9,English Premier League
Leander Dendoncker\Leander-Dendoncker,MFDF,Wolves,25,1995,33,2503,27.8,English Premier League
Angelo Ogbonna\Angelo-Ogbonna,DF,West Ham,32,1988,28,2492,27.7,English Premier League
Pascal Groß\Pascal-Gross,MFDF,Brighton,29,1991,34,2484,27.6,English Premier League
Jonny Evans\Jonny-Evans,DF,Leicester City,32,1988,28,2473,27.5,English Premier League
Ivan Cavaleiro\Ivan-Cavaleiro,FWMF,Fulham,26,1993,36,2472,27.5,English Premier League
Ezgjan Alioski\Ezgjan-Alioski,DF,Leeds United,28,1992,36,2461,27.3,English Premier League
Abdoulaye Doucouré\Abdoulaye-Doucoure,MF,Everton,27,1993,29,2443,27.1,English Premier League
Robert Sánchez\Robert-Sanchez,GK,Brighton,22,1997,27,2430,27,English Premier League
Miguel Almirón\Miguel-Almiron,MFFW,Newcastle Utd,26,1994,34,2429,27,English Premier League
Kalvin Phillips\Kalvin-Phillips,MF,Leeds United,24,1995,29,2428,27,English Premier League
Charlie Taylor\Charlie-Taylor,DF,Burnley,26,1993,29,2426,27,English Premier League
Romain Saïss\Romain-Saiss,DF,Wolves,30,1990,27,2407,26.7,English Premier League
David McGoldrick\David-McGoldrick,FWMF,Sheffield Utd,32,1987,35,2397,26.6,English Premier League
Mateusz Klich\Mateusz-Klich,MF,Leeds United,30,1990,35,2393,26.6,English Premier League
Fred\Fred,MF,Manchester Utd,27,1993,30,2390,26.6,English Premier League
Reece James\Reece-James,DF,Chelsea,20,1999,32,2373,26.4,English Premier League
Matty Cash\Matty-Cash,DF,Aston Villa,22,1997,28,2372,26.4,English Premier League
Bobby Reid\Bobby-Reid,MFDF,Fulham,27,1993,33,2372,26.4,English Premier League
Raphael Dias Belloli\Raphael-Dias-Belloli,MF,Leeds United,23,1996,30,2360,26.2,English Premier League
Luka Milivojević\Luka-Milivojevic,MF,Crystal Palace,29,1991,31,2359,26.2,English Premier League
Timothy Castagne\Timothy-Castagne,DF,Leicester City,24,1995,27,2345,26.1,English Premier League
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,FW,Arsenal,31,1989,29,2332,25.9,English Premier League
Bertrand Traoré\Bertrand-Traore,FW,Aston Villa,24,1995,36,2317,25.7,English Premier League
João Cancelo\Joao-Cancelo,DF,Manchester City,26,1994,28,2299,25.5,English Premier League
Kieran Tierney\Kieran-Tierney,DF,Arsenal,23,1997,27,2299,25.5,English Premier League
David de Gea\David-de-Gea,GK,Manchester Utd,29,1990,26,2295,25.5,English Premier League
Mason Holgate\Mason-Holgate,DF,Everton,23,1996,28,2287,25.4,English Premier League
Ben Chilwell\Ben-Chilwell,DF,Chelsea,23,1996,27,2286,25.4,English Premier League
Joël Veltman\Joel-Veltman,DF,Brighton,28,1992,28,2281,25.3,English Premier League
Wesley Fofana\Wesley-Fofana,DF,Leicester City,19,2000,28,2262,25.1,English Premier League
Andros Townsend\Andros-Townsend,MFFW,Crystal Palace,29,1991,34,2258,25.1,English Premier League
Joel Ward\Joel-Ward,DF,Crystal Palace,30,1989,26,2256,25.1,English Premier League
Gylfi Sigurðsson\Gylfi-Sigurdsson,MF,Everton,30,1989,36,2253,25,English Premier League
Karl Darlow\Karl-Darlow,GK,Newcastle Utd,29,1990,25,2250,25,English Premier League
Harrison Reed\Harrison-Reed,MF,Fulham,25,1995,31,2247,25,English Premier League
Sergio Reguilón\Sergio-Reguilon,DF,Tottenham,23,1996,27,2244,24.9,English Premier League
Toby Alderweireld\Toby-Alderweireld,DF,Tottenham,31,1989,25,2240,24.9,English Premier League
Conor Townsend\Conor-Townsend,DF,West Brom,27,1993,25,2234,24.8,English Premier League
Oliver Norwood\Oliver-Norwood,MF,Sheffield Utd,29,1991,32,2220,24.7,English Premier League
César Azpilicueta\Cesar-Azpilicueta,DF,Chelsea,30,1989,26,2188,24.3,English Premier League
Liam Cooper\Liam-Cooper,DF,Leeds United,28,1991,25,2185,24.3,English Premier League
Jack Grealish\Jack-Grealish,FWMF,Aston Villa,24,1995,26,2185,24.3,English Premier League
Wilfred Ndidi\Wilfred-Ndidi,MFDF,Leicester City,23,1996,26,2176,24.2,English Premier League
Danny Ings\Danny-Ings,FW,Southampton,28,1992,29,2173,24.1,English Premier League
Antonee Robinson\Antonee-Robinson,DF,Fulham,22,1997,28,2162,24,English Premier League
N'Golo Kanté\NGolo-Kante,MF,Chelsea,29,1991,30,2146,23.8,English Premier League
Scott McTominay\Scott-McTominay,MF,Manchester Utd,23,1996,32,2129,23.7,English Premier League
Dara O'Shea\Dara-OShea,DF,West Brom,21,1999,28,2102,23.4,English Premier League
James Maddison\James-Maddison,MFFW,Leicester City,23,1996,31,2099,23.3,English Premier League
Jordan Ayew\Jordan-Ayew,FWMF,Crystal Palace,28,1991,33,2096,23.3,English Premier League
Tanguy Ndombele\Tanguy-Ndombele,MF,Tottenham,23,1996,33,2091,23.2,English Premier League
Ethan Ampadu\Ethan-Ampadu,DFMF,Sheffield Utd,19,2000,25,2089,23.2,English Premier League
Héctor Bellerín\Hector-Bellerin,DF,Arsenal,25,1995,25,2089,23.2,English Premier League
Callum Wilson\Callum-Wilson,FW,Newcastle Utd,28,1992,26,2084,23.2,English Premier League
Federico Fernández\Federico-Fernandez,DF,Newcastle Utd,31,1989,24,2079,23.1,English Premier League
Pascal Struijk\Pascal-Struijk,DFMF,Leeds United,20,1999,27,2075,23.1,English Premier League
James Justin\James-Justin,DF,Leicester City,22,1998,23,2070,23,English Premier League
Bernardo Silva\Bernardo-Silva,MFFW,Manchester City,25,1994,26,2065,22.9,English Premier League
Gabriel Jesus\Gabriel-Jesus,FW,Manchester City,23,1997,29,2063,22.9,English Premier League
Dan Burn\Dan-Burn,DF,Brighton,28,1992,27,2061,22.9,English Premier League
Allan\Allan,MF,Everton,29,1991,24,2051,22.8,English Premier League
John Lundstram\John-Lundstram,MF,Sheffield Utd,26,1994,28,2032,22.6,English Premier League
İlkay Gündoğan\Ilkay-Gundogan,MF,Manchester City,29,1990,28,2029,22.5,English Premier League
Kurt Zouma\Kurt-Zouma,DF,Chelsea,25,1994,24,2029,22.5,English Premier League
Jorginho\Jorginho,MF,Chelsea,28,1991,28,2010,22.3,English Premier League
Kevin De Bruyne\Kevin-De-Bruyne,MF,Manchester City,29,1991,25,1997,22.2,English Premier League
Gabriel Dos Santos\Gabriel-Dos-Santos,DF,Arsenal,22,1997,23,1996,22.2,English Premier League
Joelinton\Joelinton,FWMF,Newcastle Utd,23,1996,31,1983,22,English Premier League
Michail Antonio\Michail-Antonio,FW,West Ham,30,1990,26,1974,21.9,English Premier League
Riyad Mahrez\Riyad-Mahrez,FW,Manchester City,29,1991,27,1949,21.7,English Premier League
Kyle Walker\Kyle-Walker,DF,Manchester City,30,1990,24,1946,21.6,English Premier League
Harvey Barnes\Harvey-Barnes,FWMF,Leicester City,22,1997,25,1945,21.6,English Premier League
Isaac Hayden\Isaac-Hayden,MFDF,Newcastle Utd,25,1995,24,1942,21.6,English Premier League
Yerry Mina\Yerry-Mina,DF,Everton,25,1994,24,1937,21.5,English Premier League
Thiago Silva\Thiago-Silva,DF,Chelsea,35,1984,23,1935,21.5,English Premier League
John Stones\John-Stones,DF,Manchester City,26,1994,22,1933,21.5,English Premier League
Craig Dawson\Craig-Dawson,DF,West Ham,30,1990,22,1925,21.4,English Premier League
Alexandre Lacazette\Alexandre-Lacazette,FW,Arsenal,29,1991,31,1923,21.4,English Premier League
Ruben Loftus-Cheek\Ruben-Loftus-Cheek,MFFW,Fulham,24,1996,30,1909,21.2,English Premier League
Paul Pogba\Paul-Pogba,MFFW,Manchester Utd,27,1993,26,1897,21.1,English Premier League
Ciaran Clark\Ciaran-Clark,DF,Newcastle Utd,30,1989,22,1891,21,English Premier League
Willy Boly\Willy-Boly,DF,Wolves,29,1991,21,1879,20.9,English Premier League
Thiago Alcántara\Thiago-Alcantara,MF,Liverpool,29,1991,24,1854,20.6,English Premier League
Jamal Lewis\Jamal-Lewis,DF,Newcastle Utd,22,1998,24,1837,20.4,English Premier League
Matt Phillips\Matt-Phillips,MFFW,West Brom,29,1991,33,1828,20.3,English Premier League
Mason Greenwood\Mason-Greenwood,FW,Manchester Utd,18,2001,31,1822,20.2,English Premier League
Jaïro Riedewald\Jairo-Riedewald,MF,Crystal Palace,23,1996,33,1820,20.2,English Premier League
Çağlar Soyüncü\Caglar-Soyuncu,DF,Leicester City,24,1996,23,1819,20.2,English Premier League
Christian Benteke\Christian-Benteke,FW,Crystal Palace,29,1990,30,1816,20.2,English Premier League
Mateo Kovačić\Mateo-Kovacic,MF,Chelsea,26,1994,27,1815,20.2,English Premier League
Gary Cahill\Gary-Cahill,DF,Crystal Palace,34,1985,20,1800,20,English Premier League
Patrick van Aanholt\Patrick-van-Aanholt,DF,Crystal Palace,29,1990,22,1777,19.7,English Premier League
James Rodríguez\James-Rodriguez,FWMF,Everton,29,1991,23,1764,19.6,English Premier League
Oriol Romeu\Oriol-Romeu,MF,Southampton,28,1991,21,1763,19.6,English Premier League
Marc Albrighton\Marc-Albrighton,DFFW,Leicester City,30,1989,31,1746,19.4,English Premier League
Christian Pulisic\Christian-Pulisic,FWMF,Chelsea,21,1998,27,1738,19.3,English Premier League
Nathan Redmond\Nathan-Redmond,MFFW,Southampton,26,1994,29,1738,19.3,English Premier League
Tyrick Mitchell\Tyrick-Mitchell,DF,Crystal Palace,20,1999,19,1710,19,English Premier League
Antonio Rüdiger\Antonio-Rudiger,DF,Chelsea,27,1993,19,1710,19,English Premier League
Jordan Henderson\Jordan-Henderson,MFDF,Liverpool,30,1990,21,1704,18.9,English Premier League
Mario Lemina\Mario-Lemina,MF,Fulham,26,1993,28,1703,18.9,English Premier League
Solly March\Solly-March,DF,Brighton,26,1994,21,1672,18.6,English Premier League
Daniel Podence\Daniel-Podence,MFFW,Wolves,24,1995,24,1661,18.5,English Premier League
Jacob Murphy\Jacob-Murphy,DFMF,Newcastle Utd,25,1995,26,1626,18.1,English Premier League
Jamaal Lascelles\Jamaal-Lascelles,DF,Newcastle Utd,26,1993,19,1625,18.1,English Premier League
Theo Walcott\Theo-Walcott,MFFW,Southampton,31,1989,21,1618,18,English Premier League
Phil Foden\Phil-Foden,FWMF,Manchester City,20,2000,28,1616,18,English Premier League
Nicolas Pépé\Nicolas-Pepe,FW,Arsenal,25,1995,29,1616,18,English Premier League
Dani Ceballos\Dani-Ceballos,MF,Arsenal,23,1996,25,1615,17.9,English Premier League
Séamus Coleman\Seamus-Coleman,DFMF,Everton,31,1988,25,1613,17.9,English Premier League
Anwar El Ghazi\Anwar-El-Ghazi,FW,Aston Villa,25,1995,28,1613,17.9,English Premier League
Serge Aurier\Serge-Aurier,DF,Tottenham,27,1992,19,1605,17.8,English Premier League
Ben Osborn\Ben-Osborn,MFDF,Sheffield Utd,25,1994,24,1604,17.8,English Premier League
Adam Lallana\Adam-Lallana,MFFW,Brighton,32,1988,30,1596,17.7,English Premier League
Moussa Sissoko\Moussa-Sissoko,MF,Tottenham,30,1989,25,1585,17.6,English Premier League
André Gomes\Andre-Gomes,MF,Everton,27,1993,28,1570,17.4,English Premier League
Callum Robinson\Callum-Robinson,FWMF,West Brom,25,1995,28,1560,17.3,English Premier League
Allan Saint-Maximin\Allan-Saint-Maximin,FWMF,Newcastle Utd,23,1997,25,1560,17.3,English Premier League
Danny Welbeck\Danny-Welbeck,FW,Brighton,29,1990,24,1545,17.2,English Premier League
Mohamed Elneny\Mohamed-Elneny,MF,Arsenal,28,1992,23,1544,17.2,English Premier League
Alex Iwobi\Alex-Iwobi,FWDF,Everton,24,1996,30,1542,17.1,English Premier League
Jack Stephens\Jack-Stephens,DF,Southampton,26,1994,18,1537,17.1,English Premier League
Thomas Partey\Thomas-Partey,MF,Arsenal,27,1993,24,1534,17,English Premier League
Ross Barkley\Ross-Barkley,MF,Aston Villa,26,1993,24,1531,17,English Premier League
Kai Havertz\Kai-Havertz,MFFW,Chelsea,21,1999,27,1520,16.9,English Premier League
Romaine Sawyers\Romaine-Sawyers,MF,West Brom,28,1991,19,1487,16.5,English Premier League
Davinson Sánchez\Davinson-Sanchez,DF,Tottenham,24,1996,18,1486,16.5,English Premier League
Kenny Tete\Kenny-Tete,DF,Fulham,24,1995,22,1481,16.5,English Premier League
Anthony Martial\Anthony-Martial,FW,Manchester Utd,24,1995,22,1480,16.4,English Premier League
Oleksandr Zinchenko\Oleksandr-Zinchenko,DF,Manchester City,23,1996,20,1478,16.4,English Premier League
James McArthur\James-McArthur,MF,Crystal Palace,32,1987,18,1466,16.3,English Premier League
Kelechi Iheanacho\Kelechi-Iheanacho,FW,Leicester City,23,1996,25,1459,16.2,English Premier League
Nampalys Mendy\Nampalys-Mendy,MF,Leicester City,28,1992,23,1459,16.2,English Premier League
Nathaniel Phillips\Nathaniel-Phillips,DF,Liverpool,23,1997,17,1456,16.2,English Premier League
Emile Smith-Rowe\Emile-Smith-Rowe,MFFW,Arsenal,20,2000,20,1440,16,English Premier League
Jeffrey Schlupp\Jeffrey-Schlupp,MF,Crystal Palace,27,1992,27,1428,15.9,English Premier League
Tom Davies\Tom-Davies,MF,Everton,22,1998,25,1423,15.8,English Premier League
Jeff Hendrick\Jeff-Hendrick,MF,Newcastle Utd,28,1992,22,1422,15.8,English Premier League
Jesse Lingard\Jesse-Lingard,MFFW,West Ham,27,1992,16,1421,15.8,English Premier League
Sean Longstaff\Sean-Longstaff,MF,Newcastle Utd,22,1997,22,1412,15.7,English Premier League
Lucas Moura\Lucas-Moura,FWMF,Tottenham,27,1992,30,1411,15.7,English Premier League
Willian\Willian,FWMF,Arsenal,31,1988,25,1406,15.6,English Premier League
Rayan Aït Nouri\Rayan-Ait-Nouri,DF,Wolves,19,2001,21,1404,15.6,English Premier League
Aleksandar Mitrović\Aleksandar-Mitrovic,FW,Fulham,25,1994,27,1402,15.6,English Premier League
David Luiz\David-Luiz,DF,Arsenal,33,1987,20,1396,15.5,English Premier League
Saïd Benrahma\Said-Benrahma,FWMF,West Ham,24,1995,30,1391,15.5,English Premier League
Issa Diop\Issa-Diop,DF,West Ham,23,1997,18,1381,15.3,English Premier League
Edinson Cavani\Edinson-Cavani,FW,Manchester Utd,33,1987,26,1375,15.3,English Premier League
Andreas Christensen\Andreas-Christensen,DF,Chelsea,24,1996,17,1371,15.2,English Premier League
Matěj Vydra\Matej-Vydra,FW,Burnley,28,1992,28,1371,15.2,English Premier League
Fábio Silva\Fabio-Silva,FW,Wolves,18,2002,32,1369,15.2,English Premier League
Jóhann Berg Guðmundsson\Johann-Berg-Gudmundsson,MF,Burnley,29,1990,22,1363,15.1,English Premier League
Jack Cork\Jack-Cork,MF,Burnley,31,1989,16,1350,15,English Premier League
Scott Dann\Scott-Dann,DF,Crystal Palace,33,1987,15,1350,15,English Premier League
Matt Ritchie\Matt-Ritchie,DFMF,Newcastle Utd,30,1989,18,1350,15,English Premier League
Ben Davies\Ben-Davies,DF,Tottenham,27,1993,20,1346,15,English Premier League
Aymeric Laporte\Aymeric-Laporte,DF,Manchester City,26,1994,16,1344,14.9,English Premier League
Tyler Roberts\Tyler-Roberts,MFFW,Leeds United,21,1999,27,1340,14.9,English Premier League
Ashley Barnes\Ashley-Barnes,FW,Burnley,30,1989,22,1331,14.8,English Premier League
Ayoze Pérez\Ayoze-Perez,MFFW,Leicester City,27,1993,25,1331,14.8,English Premier League
Oliver McBurnie\Oliver-McBurnie,FW,Sheffield Utd,24,1996,23,1324,14.7,English Premier League
Okay Yokuşlu\Okay-Yokuslu,MF,West Brom,26,1994,16,1317,14.6,English Premier League
Max Kilman\Max-Kilman,DF,Wolves,23,1997,18,1310,14.6,English Premier League
Ferrán Torres\Ferran-Torres,FWMF,Manchester City,20,2000,24,1306,14.5,English Premier League
Emil Krafth\Emil-Krafth,DF,Newcastle Utd,25,1994,16,1288,14.3,English Premier League
Rodrigo\Rodrigo,MFFW,Leeds United,29,1991,26,1288,14.3,English Premier League
Oliver Burke\Oliver-Burke,FW,Sheffield Utd,23,1997,25,1269,14.1,English Premier League
Erik Pieters\Erik-Pieters,DFMF,Burnley,31,1988,20,1266,14.1,English Premier League
Jay Rodriguez\Jay-Rodriguez,FWMF,Burnley,31,1989,31,1265,14.1,English Premier League
Paul Dummett\Paul-Dummett,DF,Newcastle Utd,28,1991,15,1255,13.9,English Premier League
Fabian Schär\Fabian-Schar,DF,Newcastle Utd,28,1991,18,1246,13.8,English Premier League
Jake Livermore\Jake-Livermore,MF,West Brom,30,1989,18,1242,13.8,English Premier League
Moussa Djenepo\Moussa-Djenepo,MF,Southampton,22,1998,27,1240,13.8,English Premier League
Matt Doherty\Matt-Doherty,DF,Tottenham,28,1992,17,1240,13.8,English Premier League
Grady Diangana\Grady-Diangana,MFFW,West Brom,22,1998,20,1235,13.7,English Premier League
Ainsley Maitland-Niles\Ainsley-Maitland-Niles,MF,West Brom,22,1997,15,1230,13.7,English Premier League
Steven Bergwijn\Steven-Bergwijn,FWMF,Tottenham,22,1997,21,1208,13.4,English Premier League
Diego Llorente\Diego-Llorente,DF,Leeds United,26,1993,15,1204,13.4,English Premier League
Fabián Balbuena\Fabian-Balbuena,DF,West Ham,28,1991,14,1198,13.3,English Premier League
Mbaye Diagne\Mbaye-Diagne,FW,West Brom,28,1991,16,1189,13.2,English Premier League
Fernandinho\Fernandinho,MF,Manchester City,35,1985,21,1188,13.2,English Premier League
Curtis Jones\Curtis-Jones,MF,Liverpool,19,2001,24,1179,13.1,English Premier League
Hakim Ziyech\Hakim-Ziyech,FWMF,Chelsea,27,1993,23,1172,13,English Premier League
Martin Dúbravka\Martin-Dubravka,GK,Newcastle Utd,31,1989,13,1170,13,English Premier League
Trézéguet\Trezeguet,FW,Aston Villa,25,1994,21,1166,13,English Premier League
Hélder Costa\Helder-Costa,MFFW,Leeds United,26,1994,22,1156,12.8,English Premier League
Nathaniel Clyne\Nathaniel-Clyne,DF,Crystal Palace,29,1991,13,1145,12.7,English Premier League
Robin Koch\Robin-Koch,DFMF,Leeds United,24,1996,17,1132,12.6,English Premier League
Rhian Brewster\Rhian-Brewster,FW,Sheffield Utd,20,2000,27,1128,12.5,English Premier League
Karlan Grant\Karlan-Grant,FWMF,West Brom,22,1997,21,1127,12.5,English Premier League
Dean Henderson\Dean-Henderson,GK,Manchester Utd,23,1997,13,1125,12.5,English Premier League
Sander Berge\Sander-Berge,MF,Sheffield Utd,22,1998,15,1120,12.4,English Premier League
Alexis Mac Allister\Alexis-Mac-Allister,MFFW,Brighton,21,1998,21,1115,12.4,English Premier League
Diogo Jota\Diogo-Jota,FW,Liverpool,23,1996,19,1112,12.4,English Premier League
Jayden Bogle\Jayden-Bogle,DF,Sheffield Utd,20,2000,16,1110,12.3,English Premier League
Willian José\Willian-Jose,FW,Wolves,28,1991,17,1110,12.3,English Premier League
Nemanja Matić\Nemanja-Matic,MF,Manchester Utd,31,1988,20,1106,12.3,English Premier League
James Milner\James-Milner,MFDF,Liverpool,34,1986,26,1070,11.9,English Premier League
Callum Hudson-Odoi\Callum-Hudson-Odoi,FWDF,Chelsea,19,2000,23,1059,11.8,English Premier League
Robbie Brady\Robbie-Brady,MF,Burnley,28,1992,19,1052,11.7,English Premier League
Tammy Abraham\Tammy-Abraham,FW,Chelsea,22,1997,22,1040,11.6,English Premier League
Ibrahima Diallo\Ibrahima-Diallo,MF,Southampton,21,1999,22,1020,11.3,English Premier League
Arthur Masuaku\Arthur-Masuaku,DFFW,West Ham,26,1993,12,1006,11.2,English Premier League
Kean Bryan\Kean-Bryan,DF,Sheffield Utd,23,1996,13,1004,11.2,English Premier League
Mathew Ryan\Mathew-Ryan,GK,Brighton,28,1992,11,990,11,English Premier League
Joe Willock\Joe-Willock,MF,Newcastle Utd,20,1999,14,978,10.9,English Premier League
Luke Thomas\Luke-Thomas,DF,Leicester City,19,2001,14,969,10.8,English Premier League
Marcos Alonso\Marcos-Alonso,DF,Chelsea,29,1990,13,960,10.7,English Premier League
Ricardo Pereira\Ricardo-Pereira,DF,Leicester City,26,1993,15,959,10.7,English Premier League
Benjamin Mendy\Benjamin-Mendy,DF,Manchester City,26,1994,13,953,10.6,English Premier League
Giovani Lo Celso\Giovani-Lo-Celso,MF,Tottenham,24,1996,18,945,10.5,English Premier League
Sébastien Haller\Sebastien-Haller,FW,West Ham,26,1994,16,937,10.4,English Premier League
Ryan Fraser\Ryan-Fraser,FWMF,Newcastle Utd,26,1994,18,928,10.3,English Premier League
Gareth Bale\Gareth-Bale,FW,Tottenham,31,1989,20,920,10.2,English Premier League
Eric Bailly\Eric-Bailly,DF,Manchester Utd,26,1994,12,916,10.2,English Premier League
Daniel James\Daniel-James,FW,Manchester Utd,22,1997,15,910,10.1,English Premier League
Pablo Marí\Pablo-Mari,DF,Arsenal,26,1993,10,900,10,English Premier League
