Player,Pos,Squad,Age,Born,MP,Minutes,90s,League
Emre Mor\Emre-Mor,FWMF,Celta Vigo,23,1997,11,500,5.6,La Liga
Juan Sánchez Miño\Juan-Sanchez-Mino,DFMF,Elche,30,1990,9,495,5.5,La Liga
Augusto Solari\Augusto-Solari,MF,Celta Vigo,28,1992,16,486,5.4,La Liga
Adrián López\Adrian-Lopez,FWMF,Osasuna,32,1988,17,481,5.3,La Liga
Rodrigo Ely\Rodrigo-Ely,DF,Alavés,26,1993,8,468,5.2,La Liga
Okay Yokuşlu\Okay-Yokuslu,MF,Celta Vigo,26,1994,12,462,5.1,La Liga
Javi Martínez\Javi-Martinez,MFFW,Osasuna,20,1999,13,460,5.1,La Liga
Kenan Kodro\Kenan-Kodro,FWMF,Valladolid,26,1993,14,459,5.1,La Liga
Borja Sainz\Borja-Sainz,MFFW,Alavés,19,2001,21,453,5,La Liga
Cifu\Cifu,DF,Elche,29,1990,11,451,5,La Liga
Aarón Escandell\Aaron-Escandell,GK,Granada,24,1995,5,450,5,La Liga
Tomáš Vaclík\Tomas-Vaclik,GK,Sevilla,31,1989,5,450,5,La Liga
